18-12-2023;16:1:23;10.06;55.00;0;9
18-12-2023;16:3:5;10.06;54.00;0;9
18-12-2023;16:4:48;10.11;55.00;0;9
18-12-2023;16:6:27;10.11;53.00;0;9
18-12-2023;16:9:1;10.19;53.00;0;9
18-12-2023;16:10:44;10.25;53.00;0;9
18-12-2023;16:12:26;10.33;54.00;0;9
18-12-2023;16:14:9;10.33;54.00;0;9
18-12-2023;16:16:43;10.38;54.00;0;9
18-12-2023;16:18:25;10.39;54.00;0;9
18-12-2023;16:20:8;10.39;54.00;0;9
18-12-2023;16:21:50;10.44;54.00;0;9
18-12-2023;16:23:33;10.44;55.00;0;9
18-12-2023;16:25:18;10.50;55.00;0;9
18-12-2023;16:27:49;10.54;55.00;0;9
18-12-2023;16:29:31;10.56;55.00;0;9
18-12-2023;16:31:14;10.61;55.00;0;9
18-12-2023;16:33:50;10.67;55.00;0;9
18-12-2023;16:35:33;10.67;55.00;0;9
18-12-2023;16:37:13;10.69;56.00;0;9
18-12-2023;16:38:55;10.72;56.00;0;9
18-12-2023;16:45:7;10.72;56.00;0;9
18-12-2023;16:46:45;0.00;0.00;0;0
18-12-2023;16:48:19;10.67;56.00;0;9
18-12-2023;16:50:1;10.67;56.00;0;9
18-12-2023;16:51:44;10.67;56.00;0;9
18-12-2023;16:53:29;10.67;57.00;0;9
18-12-2023;16:56:0;10.61;57.00;0;117
18-12-2023;16:57:53;10.61;57.00;0;290
18-12-2023;17:1:3;0.00;0.00;0;0
18-12-2023;0:1:46;0.00;0.00;0;0
18-12-2023;0:4:26;9.81;56.00;0;306
18-12-2023;0:6:11;9.78;56.00;0;306
18-12-2023;0:8:32;0.00;0.00;0;306
18-12-2023;0:10:24;9.78;56.00;0;306
18-12-2023;0:12:7;9.83;56.00;0;306
18-12-2023;0:14:0;9.83;56.00;0;306
18-12-2023;0:15:35;9.83;56.00;0;306
18-12-2023;0:18:6;9.83;56.00;0;306
18-12-2023;0:21:28;9.83;0.00;0;306
18-12-2023;0:23:13;9.83;57.00;0;306
18-12-2023;0:24:17;9.83;58.00;0;306
18-12-2023;0:25:50;9.78;57.00;0;306
18-12-2023;0:27:30;9.81;58.00;0;306
18-12-2023;0:28:34;9.78;58.00;0;306
18-12-2023;0:30:55;9.81;58.00;0;306
18-12-2023;0:32:37;9.78;58.00;0;306
18-12-2023;0:33:41;9.78;58.00;0;306
18-12-2023;0:36:2;9.81;58.00;0;306
18-12-2023;0:37:45;9.78;58.00;0;306
18-12-2023;0:39:27;9.78;59.00;0;306
18-12-2023;0:41:10;9.78;58.00;0;306
18-12-2023;0:42:52;9.78;58.00;0;306
18-12-2023;0:44:37;9.72;58.00;0;306
18-12-2023;0:47:8;9.72;59.00;0;306
18-12-2023;0:49:42;9.69;59.00;0;306
18-12-2023;0:50:36;9.67;60.00;0;306
18-12-2023;0:52:26;9.67;60.00;0;306
18-12-2023;0:55:0;9.61;60.00;0;306
18-12-2023;0:58:1;9.61;0.00;0;306
18-12-2023;0:59:57;9.56;61.00;0;306
18-12-2023;1:2:31;9.56;61.00;0;306
18-12-2023;1:3:35;9.56;62.00;0;306
18-12-2023;1:5:56;9.56;62.00;0;306
18-12-2023;1:7:31;9.56;62.00;0;306
18-12-2023;1:9:21;9.56;63.00;0;306
18-12-2023;1:11:4;9.50;63.00;0;306
