08/03/2024;0:00:44;1.46;95.70;11.37;303;12.87;301;-75;
08/03/2024;0:02:26;1.50;95.70;11.91;307;12.87;313;-75;
08/03/2024;0:04:09;1.44;95.80;12.34;310;12.87;305;-75;
08/03/2024;0:05:10;1.44;95.70;13.68;312;14.48;312;-75;
08/03/2024;0:07:34;1.50;96.10;12.77;304;14.48;312;-75;
08/03/2024;0:09:16;1.58;95.90;12.73;316;14.48;321;-75;
08/03/2024;0:11:01;1.61;95.90;13.68;319;14.48;322;-75;
08/03/2024;0:12:41;1.56;95.80;12.47;326;14.48;325;-75;
08/03/2024;0:14:37;1.50;95.70;14.89;325;16.09;324;-75;
08/03/2024;0:16:06;1.53;95.70;14.48;329;16.09;328;-75;
08/03/2024;0:18:40;1.44;95.70;17.86;328;19.31;334;-75;
08/03/2024;0:21:14;1.39;95.90;20.72;328;22.53;332;-75;
08/03/2024;0:22:56;1.33;95.80;19.46;330;20.92;329;-75;
08/03/2024;0:24:39;1.31;95.70;22.33;327;24.14;320;-75;
08/03/2024;0:27:13;1.37;96.00;22.53;320;24.14;328;-75;
08/03/2024;0:29:46;1.47;96.20;22.24;323;24.14;326;-75;
08/03/2024;0:32:20;1.33;95.70;23.41;326;24.14;324;-75;
08/03/2024;0:34:03;1.26;95.70;23.82;326;25.75;328;-75;
08/03/2024;0:36:36;1.28;96.20;21.50;321;24.14;334;-75;
08/03/2024;0:38:21;1.33;96.10;21.73;313;22.53;305;-75;
08/03/2024;0:40:01;1.42;96.30;22.53;320;24.14;324;-75;
08/03/2024;0:42:35;1.33;96.20;23.99;320;25.75;316;-75;
08/03/2024;0:44:18;1.33;95.80;22.53;317;24.14;317;-75;
08/03/2024;0:46:51;1.17;95.90;25.11;322;27.36;322;-75;
08/03/2024;0:47:55;1.06;95.90;23.60;318;24.14;314;-75;
08/03/2024;0:49:25;1.06;96.00;23.55;318;25.75;324;-75;
08/03/2024;0:51:08;1.06;96.10;25.21;321;25.75;321;-75;
08/03/2024;0:52:50;1.06;96.00;22.13;319;22.53;325;-75;
08/03/2024;0:54:33;1.06;96.00;21.21;314;22.53;316;-75;
08/03/2024;0:56:15;1.06;96.10;21.10;313;22.53;317;-75;
08/03/2024;0:57:58;1.06;96.00;19.58;315;20.92;310;-75;
08/03/2024;0:59:02;1.06;96.10;17.70;311;17.70;310;-75;
08/03/2024;1:01:23;1.17;96.40;17.17;312;17.70;313;-75;
08/03/2024;1:03:05;1.11;96.20;17.43;317;17.70;317;-74;
