07/03/2024;0:01:44;2.83;-1.00;25.48;336;27.36;336;-77;Ok;
07/03/2024;0:04:46;2.89;96.60;22.53;342;22.53;336;-78;Ok;
07/03/2024;0:06:36;2.89;96.60;23.74;339;24.14;337;-77;Ok;
07/03/2024;0:07:17;2.89;96.60;21.73;338;22.53;338;-77;Ok;
07/03/2024;0:08:59;2.83;96.50;24.24;346;25.75;349;-77;Ok;
07/03/2024;0:11:36;2.83;96.50;25.75;348;25.75;349;-78;Ok;
07/03/2024;0:13:18;2.78;96.50;25.75;341;25.75;346;-78;Ok;
07/03/2024;0:15:50;2.82;96.60;21.83;346;22.53;351;-78;Ok;
07/03/2024;0:18:23;2.81;96.50;23.41;316;25.75;351;-78;Ok;
07/03/2024;0:20:16;2.72;96.50;23.34;257;24.14;9;-78;Ok;
07/03/2024;0:22:40;2.72;96.30;22.93;345;24.14;351;-78;Ok;
07/03/2024;0:24:22;2.67;96.30;24.41;351;25.75;351;-78;Ok;
07/03/2024;0:26:05;2.61;96.30;21.46;309;22.53;9;-78;Ok;
07/03/2024;0:28:38;2.56;96.40;23.44;301;25.75;348;-78;Ok;
07/03/2024;0:31:12;2.50;96.50;21.91;318;24.14;348;-78;Ok;
07/03/2024;0:33:46;2.50;96.50;24.58;336;27.36;342;-78;Ok;
07/03/2024;0:36:20;2.61;96.40;21.29;342;24.14;351;-77;Ok;
07/03/2024;0:38:12;2.67;96.60;22.30;340;24.14;340;-77;Ok;
07/03/2024;0:40:36;2.74;96.50;23.03;299;25.75;348;-78;Ok;
07/03/2024;0:42:18;2.78;96.40;22.63;327;24.14;325;-78;Ok;
07/03/2024;0:44:01;2.83;96.40;18.51;341;19.31;336;-77;Ok;
07/03/2024;0:45:46;2.78;96.60;20.12;335;20.92;333;-78;Ok;
07/03/2024;0:47:26;2.83;96.60;20.92;329;22.53;330;-78;Ok;
07/03/2024;0:49:08;2.83;96.60;22.10;334;22.53;337;-78;Ok;
07/03/2024;0:50:51;2.83;96.60;23.17;334;25.75;336;-78;Ok;
07/03/2024;0:52:36;2.83;96.60;19.31;339;19.31;341;-78;Ok;
07/03/2024;0:54:19;2.83;96.50;20.38;331;20.92;332;-77;Ok;
07/03/2024;0:56:50;2.83;96.50;23.34;333;25.75;333;-78;Ok;
07/03/2024;0:58:32;2.83;96.50;22.26;335;24.14;332;-77;Ok;
07/03/2024;1:01:57;2.82;96.50;21.04;340;22.53;351;-78;Ok;
07/03/2024;1:04:31;2.83;96.50;22.78;340;28.97;341;-77;Ok;
07/03/2024;1:06:14;2.83;96.50;20.28;347;20.92;351;-78;Ok;
07/03/2024;1:08:47;2.78;96.40;18.78;314;20.92;348;-79;Ok;
07/03/2024;1:10:30;2.78;96.50;21.21;345;24.14;340;-77;Ok;
07/03/2024;1:12:12;2.83;96.50;20.65;346;22.53;348;-78;Ok;
07/03/2024;1:13:57;2.83;96.50;18.51;180;19.31;351;-78;Ok;
07/03/2024;1:15:50;2.78;96.40;24.14;343;25.75;338;-78;Ok;
07/03/2024;1:17:20;2.78;96.40;21.57;280;22.53;351;-78;Ok;
07/03/2024;1:20:45;2.78;96.50;20.22;342;22.53;340;-78;Ok;
07/03/2024;1:22:41;2.78;96.40;19.31;339;19.31;336;-78;Ok;
07/03/2024;1:25:04;2.78;96.40;24.68;331;25.75;332;-78;Ok;
07/03/2024;1:26:46;2.83;96.40;19.31;343;19.31;341;-78;Ok;
07/03/2024;1:30:11;2.83;96.40;20.12;346;20.92;344;-78;Ok;
07/03/2024;1:33:34;2.83;96.40;21.50;334;25.75;348;-78;Ok;
07/03/2024;1:36:08;2.83;96.20;22.33;333;24.14;336;-78;Ok;
07/03/2024;1:38:41;2.78;96.20;24.68;341;27.36;344;-78;Ok;
07/03/2024;1:40:26;2.78;96.20;26.55;333;27.36;333;-78;Ok;
07/03/2024;1:42:58;2.79;96.20;26.45;335;30.58;337;-78;Ok;
07/03/2024;1:45:31;2.78;96.20;25.60;337;27.36;341;-78;Ok;
07/03/2024;1:48:56;2.72;96.20;25.16;338;27.36;340;-76;Ok;
07/03/2024;1:51:30;2.69;96.20;22.78;333;25.75;345;-78;Ok;
07/03/2024;1:54:04;2.72;96.20;25.85;333;28.97;336;-78;Ok;
07/03/2024;1:55:46;2.72;96.20;23.99;335;25.75;334;-78;Ok;
07/03/2024;1:57:29;2.67;96.20;25.31;332;27.36;333;-77;Ok;
07/03/2024;1:59:11;2.72;96.20;23.34;333;24.14;333;-78;Ok;
07/03/2024;2:00:54;2.72;96.20;23.39;334;25.75;336;-78;Ok;
07/03/2024;2:02:36;2.70;96.20;24.27;336;25.75;334;-76;Ok;
07/03/2024;2:04:19;2.72;96.20;25.31;333;27.36;338;-78;Ok;
07/03/2024;2:06:04;2.72;96.20;22.53;339;22.53;340;-78;Ok;
07/03/2024;2:07:44;2.72;96.20;23.34;331;24.14;329;-78;Ok;
07/03/2024;2:10:18;2.75;96.30;23.42;335;25.75;340;-78;Ok;
07/03/2024;2:13:43;2.72;96.20;21.66;331;24.14;330;-78;Ok;
07/03/2024;2:16:17;2.67;96.20;22.75;331;24.14;336;-78;Ok;
07/03/2024;2:17:59;2.67;96.20;25.16;331;27.36;336;-78;Ok;
07/03/2024;2:19:42;2.67;96.20;25.55;333;27.36;338;-78;Ok;
07/03/2024;2:22:15;2.61;96.10;25.53;335;27.36;345;-78;Ok;
07/03/2024;2:24:49;2.61;96.10;24.43;334;25.75;346;-77;Ok;
07/03/2024;2:26:32;2.58;96.10;24.14;340;25.75;342;-77;Ok;
07/03/2024;2:27:33;2.56;96.10;25.35;337;27.36;345;-77;Ok;
07/03/2024;2:29:05;2.63;96.20;26.42;335;28.97;338;-75;Ok;
07/03/2024;2:31:49;2.72;96.20;28.05;332;30.58;333;-78;Ok;
07/03/2024;2:33:24;2.78;96.20;23.34;331;24.14;332;-77;Ok;
07/03/2024;2:35:04;2.78;96.40;28.79;337;30.58;342;-78;Ok;
07/03/2024;2:37:38;2.78;96.40;26.77;334;28.97;333;-77;Ok;
07/03/2024;2:39:20;2.82;96.40;26.96;331;28.97;336;-78;Ok;
07/03/2024;2:42:45;2.83;96.30;22.23;333;27.36;336;-78;Ok;
07/03/2024;2:44:28;2.83;96.30;24.78;328;27.36;332;-77;Ok;
07/03/2024;2:46:10;2.83;96.30;23.87;330;25.75;329;-77;Ok;
07/03/2024;2:47:12;2.83;96.20;23.74;333;24.14;346;-77;Ok;
07/03/2024;2:49:36;2.83;96.30;22.23;332;25.75;332;-77;Ok;
07/03/2024;2:51:18;2.86;96.30;22.53;340;24.14;341;-77;Ok;
07/03/2024;2:53:52;2.89;96.30;19.85;330;22.53;333;-77;Ok;
07/03/2024;2:57:27;2.89;96.20;24.14;334;25.75;338;-77;Ok;
07/03/2024;2:59:51;2.89;96.20;18.91;341;22.53;338;-77;Ok;
