=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.18 17:08:21 =~=~=~=~=~=~=~=~=~=~=~=
165844:  1 - Data: A0 0 D0 42 2B 0 E0 FA FF FF   RSSI: -79 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:8:14
Estacion ID: 0
Temperatura: 10.50 ºC -- Humedad: 57.00
Dirección del viento: 287 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:8:14;10.50;57.00;0;287

Appending to file: /Estacion1_17_12_2023.csv
Message appended
---------------------- Estacion: 2 -- ID: 1
168450:  2 - Data: C9 3E 10 FF 75 3A 49 DE D BC   RSSI: -111 CRC: ERROR
Dormir: 1
170981:  3 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -85 CRC: OK
Dormir: 1
173549:  4 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -78 CRC: OK
Dormir: 1
Dormir: 1
178685:  1 - Data: 80 0 D0 1F CB 0 D9 DF FF FF   RSSI: -81 CRC: OK
185807:  1 - Data: A4 0 0 6A 1D 0 CE C FF FF   RSSI: -66 CRC: OK
186784:  1 - Data: A1 0 0 C6 1D 0 45 F0 FF FF   RSSI: -83 CRC: OK
Dormir: 1
188792:  2 - Data: 84 0 0 2D 9D 0 78 A1 FF FF   RSSI: -65 CRC: OK
Dormir: 1
191462:  3 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -64 CRC: OK
Dormir: 1
194265:  4 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -65 CRC: OK
194704:  4 - Data: D4 DF E1 50 88 63 C 70 82 89   RSSI: -111 CRC: ERROR
Dormir: 1
197084:  0 - Data: A4 0 0 6A 1D 0 CE C FF FF   RSSI: -66 CRC: OK
Dormir: 1
199901:  1 - Data: 84 0 0 2D 9D 0 78 A1 FF FF   RSSI: -67 CRC: OK
199941:  1 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -69 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:8:48
Estacion ID: 1
Temperatura: 17.83 ºC -- Humedad: 45.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:8:48;17.83;45.00;0;9

Appending to file: /Estacion2_17_12_2023.csv
Message appended
---------------------- Estacion: 3 -- ID: 4
202592:  2 - Data: E3 B2 65 5E 80 B6 DB 73 73 FD   RSSI: -98 CRC: ERROR
202721:  2 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -66 CRC: OK
Dormir: 1
205204:  3 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -70 CRC: OK
205539:  3 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -68 CRC: OK
Dormir: 1
207834:  4 - Data: 61 0 0 FF C5 0 3C 7A FF FF   RSSI: -69 CRC: OK
208357:  4 - Data: 64 0 0 FF C5 0 7F 7B FF FF   RSSI: -68 CRC: OK
Dormir: 1
210466:  0 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -69 CRC: OK
211177:  0 - Data: 84 0 0 2D 9D 0 78 A1 FF FF   RSSI: -66 CRC: OK
Dormir: 1
213184:  1 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -67 CRC: OK
213997:  1 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -63 CRC: OK
Dormir: 1
216004:  2 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -71 CRC: OK
216815:  2 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -67 CRC: OK
Dormir: 1
218822:  3 - Data: 41 0 0 FF C5 0 9 72 FF FF   RSSI: -69 CRC: OK
219635:  3 - Data: 44 0 0 FF C5 0 4A 73 FF FF   RSSI: -66 CRC: OK
Dormir: 1
221642:  4 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -70 CRC: OK
222454:  4 - Data: 84 0 0 2D 9D 0 78 A1 FF FF   RSSI: -65 CRC: OK
Dormir: 1
224461:  0 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -68 CRC: OK
225273:  0 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -64 CRC: OK
Dormir: 1
227280:  1 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -69 CRC: OK
228092:  1 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -66 CRC: OK
Dormir: 1
230099:  2 - Data: 91 0 0 0 5 0 74 F1 FF FF   RSSI: -70 CRC: OK
230913:  2 - Data: 94 0 0 0 5 0 37 F0 FF FF   RSSI: -66 CRC: OK
Dormir: 1
232920:  3 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -70 CRC: OK
233731:  3 - Data: 84 0 0 2D 9D 0 78 A1 FF FF   RSSI: -64 CRC: OK
Dormir: 1
235738:  4 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -71 CRC: OK
236551:  4 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -66 CRC: OK
Dormir: 1
238558:  0 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -72 CRC: OK
239370:  0 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -65 CRC: OK
Dormir: 1
241377:  1 - Data: A1 0 0 C7 1D 0 72 C0 FF FF   RSSI: -70 CRC: OK
242188:  1 - Data: A4 0 0 6A 1D 0 CE C FF FF   RSSI: -65 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:9:30
Estacion ID: 4
Temperatura: 22.72 ºC -- Humedad: 36.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:9:31;22.72;36.00;0;9

Appending to file: /Estacion3_17_12_2023.csv
Message appended
---------------------- Estacion: 1 -- ID: 0
Dormir: 1
Dormir: 1
Dormir: 1
251929:  0 - Data: F9 42 31 7C 12 DA 37 33 23 C1   RSSI: -103 CRC: ERROR
Dormir: 1
254492:  1 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -75 CRC: OK
255719:  1 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -85 CRC: OK
Dormir: 1
258289:  2 - Data: 90 0 D0 0 3 D E2 59 FF FF   RSSI: -85 CRC: OK
Dormir: 1
260866:  3 - Data: 5D 7C 25 D6 10 A2 C2 E8 9A 99   RSSI: -111 CRC: ERROR
Dormir: 1
263427:  4 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -86 CRC: OK
Dormir: 1
265996:  0 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -85 CRC: OK
Dormir: 1
268564:  1 - Data: A0 0 D0 45 2B 0 65 6A FF FF   RSSI: -85 CRC: OK
Dormir: 1
271132:  2 - Data: 80 0 D0 1F CB 0 D9 DF FF FF   RSSI: -85 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:9:59
Estacion ID: 0
Temperatura: 10.44 ºC -- Humedad: 58.00
Dirección del viento: 287 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:9:59;10.44;58.00;0;287

Appending to file: /Estacion1_17_12_2023.csv
Message appended
---------------------- Estacion: 2 -- ID: 1
273710:  3 - Data: 38 E3 A7 38 AB E1 B0 4A 69 E5   RSSI: -110 CRC: ERROR
Dormir: 1
276271:  4 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -85 CRC: OK
Dormir: 1
278839:  0 - Data: A0 0 D0 45 2B 0 65 6A FF FF   RSSI: -85 CRC: OK
Dormir: 1
281409:  1 - Data: 80 0 D0 1F CB 0 D9 DF FF FF   RSSI: -84 CRC: OK
Dormir: 1
283978:  2 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -78 CRC: OK
287289:  2 - Data: 94 0 0 0 5 0 37 F0 FF FF   RSSI: -73 CRC: OK
294640:  2 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -75 CRC: OK
Dormir: 1
297272:  3 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -76 CRC: OK
Dormir: 1
299903:  4 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -74 CRC: OK
Dormir: 1
302535:  0 - Data: A1 0 0 CE 1D 0 EC 51 FF FF   RSSI: -73 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:10:31
Estacion ID: 1
Temperatura: 17.83 ºC -- Humedad: 46.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:10:31;17.83;46.00;0;9

Appending to file: /Estacion2_17_12_2023.csv
Message appended
---------------------- Estacion: 3 -- ID: 4
305216:  1 - Data: 68 9E 9B F AF 7E EE 25 E7 B7   RSSI: -108 CRC: ERROR
Dormir: 1
307799:  2 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -71 CRC: OK
Dormir: 1
310430:  3 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -73 CRC: OK
Dormir: 1
313061:  4 - Data: 61 0 0 FF C5 0 3C 7A FF FF   RSSI: -77 CRC: OK
Dormir: 1
315840:  0 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -76 CRC: OK
317344:  0 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -84 CRC: OK
323912:  0 - Data: DF E5 3 C6 7C 2E 92 7B EF C3   RSSI: -113 CRC: ERROR
328818:  0 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -74 CRC: OK
330156:  0 - Data: A0 0 D0 47 2B 0 B A FF FF   RSSI: -84 CRC: OK
337967:  0 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -84 CRC: OK
Dormir: 1
340787:  1 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -84 CRC: OK
Dormir: 1
343607:  2 - Data: 94 0 0 0 5 0 37 F0 FF FF   RSSI: -81 CRC: OK
Dormir: 1
346426:  3 - Data: 84 0 0 2D 7D 0 68 13 FF FF   RSSI: -84 CRC: OK
Dormir: 1
349245:  4 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -84 CRC: OK
Dormir: 1
352075:  0 - Data: 7 71 4A C7 3 1C E3 2B 6E BE   RSSI: -110 CRC: ERROR
Dormir: 1
354882:  1 - Data: A4 0 0 72 1D 0 24 CE FF FF   RSSI: -84 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:11:23
Estacion ID: 4
Temperatura: 22.61 ºC -- Humedad: 37.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:11:23;22.61;37.00;0;9

Appending to file: /Estacion3_17_12_2023.csv
Message appended
---------------------- Estacion: 1 -- ID: 0
Dormir: 1
