fecha;hora;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;fecha_hora;diferencia;diferencia_abs;diferencia_segundos;num_punto
2023-12-14;01:02:39;19,44;62.0;0.0;9.0;E2_P1;2023-12-14 01:02:39;0 days 00:00:32;0 days 00:00:32;32.0;0
2023-12-14;01:03:03;19,5;62.0;0.0;9.0;E2_P2;2023-12-14 01:03:03;0 days 00:00:24;0 days 00:00:24;24.0;0
2023-12-14;01:03:31;19,5;62.0;0.0;9.0;E2_P1;2023-12-14 01:03:31;0 days 00:00:28;0 days 00:00:28;28.0;0
2023-12-14;01:03:56;19,5;62.0;0.0;9.0;E2_P2;2023-12-14 01:03:56;0 days 00:00:25;0 days 00:00:25;25.0;0
2023-12-14;01:04:26;19,5;62.0;0.0;9.0;E2_P1;2023-12-14 01:04:26;0 days 00:00:30;0 days 00:00:30;30.0;0
2023-12-14;01:04:53;19,5;62.0;0.0;9.0;E2_P2;2023-12-14 01:04:53;0 days 00:00:27;0 days 00:00:27;27.0;0
2023-12-14;01:05:19;19,5;62.0;0.0;9.0;E2_P1;2023-12-14 01:05:19;0 days 00:00:26;0 days 00:00:26;26.0;0
2023-12-14;01:05:52;19,56;62.0;0.0;9.0;E2_P2;2023-12-14 01:05:52;0 days 00:00:33;0 days 00:00:33;33.0;0
2023-12-14;01:06:19;19,56;62.0;0.0;9.0;E2_P1;2023-12-14 01:06:19;0 days 00:00:27;0 days 00:00:27;27.0;0
2023-12-14;01:06:48;19,56;62.0;0.0;9.0;E2_P2;2023-12-14 01:06:48;0 days 00:00:29;0 days 00:00:29;29.0;0
2023-12-14;01:07:12;19,56;62.0;0.0;9.0;E2_P1;2023-12-14 01:07:12;0 days 00:00:24;0 days 00:00:24;24.0;0
2023-12-14;01:07:42;19,58;62.0;0.0;9.0;E2_P2;2023-12-14 01:07:42;0 days 00:00:30;0 days 00:00:30;30.0;0
2023-12-14;01:07:56;19,56;62.0;0.0;9.0;E2_P1;2023-12-14 01:07:56;0 days 00:00:14;0 days 00:00:14;14.0;0
2023-12-14;01:08:38;19,61;62.0;0.0;9.0;E2_P2;2023-12-14 01:08:38;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;01:09:39;19,61;62.0;0.0;9.0;E2_P1;2023-12-14 01:09:39;0 days 00:01:01;0 days 00:01:01;61.0;0
2023-12-14;01:10:30;19,64;62.0;0.0;9.0;E2_P2;2023-12-14 01:10:30;0 days 00:00:51;0 days 00:00:51;51.0;0
2023-12-14;01:11:24;19,64;62.0;0.0;9.0;E2_P1;2023-12-14 01:11:24;0 days 00:00:54;0 days 00:00:54;54.0;0
2023-12-14;01:12:23;19,67;62.0;0.0;9.0;E2_P2;2023-12-14 01:12:23;0 days 00:00:59;0 days 00:00:59;59.0;0
2023-12-14;01:13:09;19,67;62.0;0.0;9.0;E2_P1;2023-12-14 01:13:09;0 days 00:00:46;0 days 00:00:46;46.0;0
2023-12-14;01:14:15;19,69;62.0;0.0;9.0;E2_P2;2023-12-14 01:14:15;0 days 00:01:06;0 days 00:01:06;66.0;0
2023-12-14;01:14:54;19,67;63.0;0.0;9.0;E2_P1;2023-12-14 01:14:54;0 days 00:00:39;0 days 00:00:39;39.0;0
