fecha;hora;;;;;
18/12/2023;16:19:19;20,17;39;0;9;E2_DT2
18/12/2023;16:19:47;0;0;0;0;E2_DT2
18/12/2023;16:21:18;19,67;40;0;9;E2_DT2
18/12/2023;16:23:42;19,31;41;0;9;E2_DT2
18/12/2023;16:25:27;19,1;41;0;9;E2_DT2
18/12/2023;16:27:12;18,91;41;0;9;E2_DT2
18/12/2023;16:28:57;18,67;41;0;9;E2_DT2
18/12/2023;16:30:45;18,61;42;0;9;E2_DT2
18/12/2023;16:32:30;18,5;42;0;9;E2_DT2
18/12/2023;16:35:04;18,47;42;0;9;E2_DT2
18/12/2023;16:36:52;18,44;43;0;9;E2_DT2
18/12/2023;16:38:34;18,39;43;0;9;E2_DT2
18/12/2023;16:40:19;18,39;43;0;9;E2_DT2
18/12/2023;16:42:04;18,33;43;0;9;E2_DT2
18/12/2023;16:43:49;18,33;44;0;9;E2_DT2
18/12/2023;16:45:35;18,28;44;0;9;E2_DT2
18/12/2023;16:47:20;18,28;44;0;9;E2_DT2
18/12/2023;16:49:05;18,28;44;0;9;E2_DT2
18/12/2023;16:52:01;0;0;0;0;E2_DT2
18/12/2023;16:54:20;18,19;44;0;9;E2_DT2
18/12/2023;16:56:57;18,12;44;0;9;E2_DT2
18/12/2023;16:59:35;18,06;44;0;9;E2_DT2
18/12/2023;17:02:12;17,94;44;0;9;E2_DT2
18/12/2023;17:03:57;17,92;44;0;9;E2_DT2
18/12/2023;17:05:42;17,89;45;0;9;E2_DT2
18/12/2023;17:07:30;17,83;45;0;9;E2_DT2
18/12/2023;17:10:05;17,83;45;0;9;E2_DT2
18/12/2023;17:12:42;17,83;45;0;9;E2_DT2
18/12/2023;17:15:20;17,83;46;0;9;E2_DT2
18/12/2023;17:16:12;17,83;46;0;9;E2_DT2
18/12/2023;17:17:57;17,78;45;0;9;E2_DT2
18/12/2023;17:19:42;17,78;45;0;9;E2_DT2
18/12/2023;17:21:27;17,78;45;0;9;E2_DT2
18/12/2023;17:23:12;17,72;45;0;9;E2_DT2
18/12/2023;17:24:57;17,72;45;0;9;E2_DT2
18/12/2023;17:27:35;17,67;45;0;9;E2_DT2
18/12/2023;17:30:12;17,61;45;0;9;E2_DT2
18/12/2023;17:31:57;17,61;45;0;9;E2_DT2
18/12/2023;17:33:42;17,57;45;0;9;E2_DT2
18/12/2023;17:35:40;17,56;45;0;9;E2_DT2
18/12/2023;17:38:05;17,5;45;0;9;E2_DT2
18/12/2023;17:39:50;17,49;45;0;9;E2_DT2
18/12/2023;17:42:23;17,42;0;0;9;E2_DT2
18/12/2023;17:43:33;17,39;45;0;9;E2_DT2
18/12/2023;17:45:07;17,33;45;0;9;E2_DT2
18/12/2023;17:46:52;17,33;45;0;9;E2_DT2
18/12/2023;17:48:37;17,28;45;0;9;E2_DT2
18/12/2023;17:50:20;17,28;45;0;9;E2_DT2
18/12/2023;17:52:05;17,22;45;0;9;E2_DT2
18/12/2023;17:53:50;17,17;45;0;9;E2_DT2
18/12/2023;17:55:37;17,17;45;0;9;E2_DT2
18/12/2023;17:57:20;17,17;45;0;9;E2_DT2
18/12/2023;17:59:05;17,09;45;0;9;E2_DT2
18/12/2023;18:00:50;17,11;46;0;9;E2_DT2
18/12/2023;18:02:35;17,06;46;0;9;E2_DT2
18/12/2023;18:04:20;17,06;46;0;9;E2_DT2
18/12/2023;18:06:05;17;46;0;9;E2_DT2
18/12/2023;18:08:03;17;46;0;9;E2_DT2
18/12/2023;18:10:27;16,97;46;0;9;E2_DT2
18/12/2023;18:12:12;16,96;46;0;9;E2_DT2
18/12/2023;18:14:11;16,94;46;0;9;E2_DT2
18/12/2023;18:16:33;16,86;0;0;9;E2_DT2
18/12/2023;18:18:23;16,83;46;0;9;E2_DT2
18/12/2023;18:20:08;16,83;46;0;9;E2_DT2
18/12/2023;18:22:00;16,78;46;0;9;E2_DT2
18/12/2023;18:23:38;16,78;46;0;9;E2_DT2
18/12/2023;18:25:23;16,72;46;0;9;E2_DT2
18/12/2023;18:27:05;16,72;46;0;9;E2_DT2
18/12/2023;18:28:50;16,67;46;0;9;E2_DT2
18/12/2023;18:30:35;16,67;46;0;9;E2_DT2
18/12/2023;18:32:20;16,67;46;0;9;E2_DT2
18/12/2023;18:34:08;16,67;46;0;9;E2_DT2
18/12/2023;18:35:50;16,63;46;0;9;E2_DT2
18/12/2023;18:37:35;16,56;46;0;9;E2_DT2
18/12/2023;18:39:20;16,56;46;0;9;E2_DT2
18/12/2023;18:41:05;16,56;46;0;9;E2_DT2
18/12/2023;18:42:50;16,56;46;0;9;E2_DT2
18/12/2023;18:44:48;16,5;46;0;9;E2_DT2
18/12/2023;18:47:13;16,44;47;0;9;E2_DT2
18/12/2023;18:48:58;16,44;47;0;9;E2_DT2
18/12/2023;18:50:43;16,44;47;0;9;E2_DT2
18/12/2023;18:52:28;16,44;47;0;9;E2_DT2
18/12/2023;18:54:15;16,39;47;0;9;E2_DT2
18/12/2023;18:56:00;16,39;47;0;9;E2_DT2
18/12/2023;18:57:45;16,33;47;0;9;E2_DT2
18/12/2023;18:59:30;16,33;47;0;9;E2_DT2
18/12/2023;19:01:23;16,33;47;0;9;E2_DT2
18/12/2023;19:02:58;16,31;47;0;9;E2_DT2
18/12/2023;19:04:43;16,28;47;0;9;E2_DT2
18/12/2023;19:06:28;16,28;47;0;9;E2_DT2
18/12/2023;19:08:13;16,22;47;0;9;E2_DT2
18/12/2023;19:09:58;16,22;47;0;9;E2_DT2
18/12/2023;19:11:43;16,2;47;0;9;E2_DT2
18/12/2023;19:13:28;16,22;47;0;9;E2_DT2
18/12/2023;19:15:13;16,17;47;0;9;E2_DT2
18/12/2023;19:16:58;16,17;47;0;9;E2_DT2
18/12/2023;19:18:43;16,17;47;0;9;E2_DT2
18/12/2023;19:20:28;16,11;47;0;9;E2_DT2
18/12/2023;19:23:05;16,11;47;0;9;E2_DT2
18/12/2023;19:24:50;16,11;47;0;9;E2_DT2
18/12/2023;19:27:28;16,06;47;0;9;E2_DT2
18/12/2023;19:28:20;16,06;47;0;9;E2_DT2
18/12/2023;19:29:23;16,11;47;0;9;E2_DT2
18/12/2023;19:31:00;16,06;47;0;9;E2_DT2
18/12/2023;19:32:56;16,06;47;0;9;E2_DT2
18/12/2023;19:34:30;16;47;0;9;E2_DT2
18/12/2023;19:36:15;16;47;0;9;E2_DT2
18/12/2023;19:37:16;16,06;47;0;9;E2_DT2
18/12/2023;19:38:50;16;47;0;9;E2_DT2
18/12/2023;19:40:35;16;47;0;9;E2_DT2
18/12/2023;19:42:20;15,94;47;0;9;E2_DT2
18/12/2023;19:44:05;15,94;48;0;9;E2_DT2
18/12/2023;19:45:50;15,94;48;0;9;E2_DT2
18/12/2023;19:47:35;15,94;48;0;9;E2_DT2
18/12/2023;19:49:20;15,94;48;0;9;E2_DT2
18/12/2023;19:51:05;15,89;48;0;9;E2_DT2
18/12/2023;19:53:43;15,89;48;0;9;E2_DT2
18/12/2023;19:55:28;15,86;48;0;9;E2_DT2
18/12/2023;19:56:34;15,89;48;0;9;E2_DT2
18/12/2023;19:58:16;15,83;48;0;9;E2_DT2
18/12/2023;19:59:50;15,83;48;0;9;E2_DT2
18/12/2023;20:02:28;15,83;48;0;9;E2_DT2
18/12/2023;20:04:11;15,83;0;0;9;E2_DT2
18/12/2023;20:05:08;15,83;48;0;9;E2_DT2
18/12/2023;20:06:53;15,83;48;0;9;E2_DT2
18/12/2023;20:08:35;15,81;48;0;9;E2_DT2
18/12/2023;20:10:23;15,78;48;0;9;E2_DT2
18/12/2023;20:12:05;15,78;48;0;9;E2_DT2
18/12/2023;20:13:50;15,75;48;0;9;E2_DT2
18/12/2023;20:15:35;15,72;48;0;9;E2_DT2
18/12/2023;20:17:20;15,78;48;0;9;E2_DT2
18/12/2023;20:19:58;15,72;48;0;9;E2_DT2
18/12/2023;20:20:53;15,72;48;0;9;E2_DT2
18/12/2023;20:22:38;15,67;48;0;9;E2_DT2
18/12/2023;20:24:21;15,67;48;0;9;E2_DT2
18/12/2023;20:26:06;15,67;48;0;9;E2_DT2
18/12/2023;20:27:51;15,67;48;0;9;E2_DT2
18/12/2023;20:30:28;15,67;48;0;9;E2_DT2
18/12/2023;20:32:26;15,67;48;0;9;E2_DT2
18/12/2023;20:34:51;15,67;48;0;9;E2_DT2
18/12/2023;20:36:36;15,63;48;0;9;E2_DT2
18/12/2023;20:38:21;15,61;48;0;9;E2_DT2
18/12/2023;20:40:06;15,61;48;0;9;E2_DT2
18/12/2023;20:41:53;15,56;48;0;9;E2_DT2
18/12/2023;20:42:46;15,61;48;0;9;E2_DT2
18/12/2023;20:44:31;15,56;48;0;9;E2_DT2
18/12/2023;20:46:24;15,56;48;0;9;E2_DT2
18/12/2023;20:47:58;15,56;48;0;9;E2_DT2
18/12/2023;20:49:43;15,56;48;0;9;E2_DT2
18/12/2023;20:51:28;15,5;48;0;9;E2_DT2
18/12/2023;20:53:13;15,56;48;0;9;E2_DT2
18/12/2023;20:54:58;15,56;48;0;9;E2_DT2
18/12/2023;20:56:43;15,5;49;0;9;E2_DT2
18/12/2023;20:58:41;15,5;48;0;9;E2_DT2
18/12/2023;21:01:06;15,5;49;0;9;E2_DT2
18/12/2023;21:02:51;15,5;49;0;9;E2_DT2
18/12/2023;21:04:36;15,5;49;0;9;E2_DT2
18/12/2023;21:06:21;15,44;49;0;9;E2_DT2
18/12/2023;21:08:19;15,44;49;0;9;E2_DT2
18/12/2023;21:10:43;15,44;49;0;9;E2_DT2
18/12/2023;21:13:21;15,42;49;0;9;E2_DT2
18/12/2023;21:15:06;15,41;49;0;9;E2_DT2
18/12/2023;21:15:58;15,39;49;0;9;E2_DT2
18/12/2023;21:17:46;15,39;49;0;9;E2_DT2
18/12/2023;21:19:28;15,39;49;0;9;E2_DT2
18/12/2023;21:21:16;15,39;49;0;9;E2_DT2
18/12/2023;21:22:16;15,39;49;0;9;E2_DT2
18/12/2023;21:23:53;15,39;49;0;9;E2_DT2
18/12/2023;21:25:36;15,39;49;0;9;E2_DT2
18/12/2023;21:27:21;15,39;49;0;9;E2_DT2
18/12/2023;21:28:16;15,39;49;0;9;E2_DT2
18/12/2023;21:29:58;15,33;49;0;9;E2_DT2
18/12/2023;21:31:43;15,33;49;0;9;E2_DT2
18/12/2023;21:33:28;15,33;49;0;9;E2_DT2
18/12/2023;21:35:13;15,33;49;0;9;E2_DT2
18/12/2023;21:37:51;15,33;49;0;9;E2_DT2
18/12/2023;21:39:36;15,33;49;0;9;E2_DT2
18/12/2023;21:41:21;15,31;49;0;9;E2_DT2
18/12/2023;21:43:06;15,31;49;0;9;E2_DT2
18/12/2023;21:44:12;15,28;49;0;9;E2_DT2
18/12/2023;21:45:43;15,28;49;0;9;E2_DT2
18/12/2023;21:48:21;15,28;49;0;9;E2_DT2
18/12/2023;21:50:58;15,26;49;0;9;E2_DT2
