fecha;hora;;;;;
18/12/2023;16:18:25;23,17;35;0;9;E1_DT2
18/12/2023;16:19:32;23,22;35;0;9;E1_DT2
18/12/2023;16:21:05;10,39;54;0;9;E1_DT2
18/12/2023;16:22:47;10,39;55;0;9;E1_DT2
18/12/2023;16:24:30;10,44;55;0;9;E1_DT2
18/12/2023;16:26:22;10,5;55;0;9;E1_DT2
18/12/2023;16:28:46;10,5;55;0;9;E1_DT2
18/12/2023;16:30:29;10,56;55;0;9;E1_DT2
18/12/2023;16:32:11;10,61;55;0;9;E1_DT2
18/12/2023;16:34:06;10,61;55;0;9;E1_DT2
18/12/2023;16:36:27;10,67;55;0;9;E1_DT2
18/12/2023;16:38:10;10,67;56;0;9;E1_DT2
18/12/2023;16:39:55;10,72;56;0;9;E1_DT2
18/12/2023;16:41:35;10,72;56;0;9;E1_DT2
18/12/2023;16:43:20;10,72;56;0;9;E1_DT2
18/12/2023;16:45:02;10,72;56;0;9;E1_DT2
18/12/2023;16:46:55;10,72;56;0;9;E1_DT2
18/12/2023;16:48:35;10,72;56;0;9;E1_DT2
18/12/2023;16:50:38;0;0;0;9;E1_DT2
18/12/2023;16:51:50;10,67;56;0;9;E1_DT2
18/12/2023;16:53:32;10,67;56;0;9;E1_DT2
18/12/2023;16:55:56;0;0;0;0;E1_DT2
18/12/2023;16:58:40;10,61;57;0;291;E1_DT2
18/12/2023;17:01:34;10,61;0;0;287;E1_DT2
18/12/2023;17:02:56;10,56;57;0;287;E1_DT2
18/12/2023;17:05:22;10,56;0;0;287;E1_DT2
18/12/2023;17:07:11;10,56;0;0;287;E1_DT2
18/12/2023;17:09:04;0;0;0;287;E1_DT2
18/12/2023;17:11:52;10,5;0;0;287;E1_DT2
18/12/2023;17:14:44;10,44;0;0;287;E1_DT2
18/12/2023;17:15:48;10,39;58;0;287;E1_DT2
18/12/2023;17:17:27;10,39;58;0;287;E1_DT2
18/12/2023;17:19:10;10,36;58;0;287;E1_DT2
18/12/2023;17:20:53;10,33;59;0;287;E1_DT2
18/12/2023;17:22:35;10,28;59;0;287;E1_DT2
18/12/2023;17:24:20;10,28;59;0;287;E1_DT2
18/12/2023;17:26:51;10,21;60;0;287;E1_DT2
18/12/2023;17:29:25;10,15;60;0;287;E1_DT2
18/12/2023;17:31:08;10,11;60;0;287;E1_DT2
18/12/2023;17:33:00;10,06;61;0;287;E1_DT2
18/12/2023;17:35:19;9,94;0;0;287;E1_DT2
18/12/2023;17:37:06;9,94;61;0;287;E1_DT2
18/12/2023;17:38:49;9,89;61;0;287;E1_DT2
18/12/2023;17:41:23;9,78;62;0;287;E1_DT2
