fecha;hora;;;;;
18/12/2023;16:17:35;20,14;39;0;9;E2_DT1
18/12/2023;16:18:41;19,83;39;0;9;E2_DT1
18/12/2023;16:21:05;19,44;40;0;9;E2_DT1
18/12/2023;16:23:43;19,1;41;0;9;E2_DT1
18/12/2023;16:26:20;18,83;41;0;9;E2_DT1
18/12/2023;16:28:05;18,67;41;0;9;E2_DT1
18/12/2023;16:29:53;18,56;42;0;9;E2_DT1
18/12/2023;16:31:38;18,5;42;0;9;E2_DT1
18/12/2023;16:33:31;18,44;42;0;9;E2_DT1
18/12/2023;16:35:16;18,44;43;0;9;E2_DT1
18/12/2023;16:36:50;18,39;43;0;9;E2_DT1
18/12/2023;16:38:35;18,39;43;0;9;E2_DT1
18/12/2023;16:40:23;18,39;43;0;9;E2_DT1
18/12/2023;16:42:05;18,33;44;0;9;E2_DT1
18/12/2023;16:45:38;18,28;0;0;9;E2_DT1
18/12/2023;16:48:13;18,25;44;0;9;E2_DT1
18/12/2023;16:49:58;18,22;44;0;9;E2_DT1
18/12/2023;16:51:43;18,22;44;0;9;E2_DT1
18/12/2023;16:53:28;18,17;45;0;9;E2_DT1
18/12/2023;16:55:13;18,11;44;0;9;E2_DT1
18/12/2023;16:57:50;18,06;44;0;9;E2_DT1
18/12/2023;17:00:28;17,94;44;0;9;E2_DT1
18/12/2023;17:02:23;17,92;44;0;9;E2_DT1
18/12/2023;17:03:58;17,89;45;0;9;E2_DT1
18/12/2023;17:06:58;17,83;0;0;9;E2_DT1
18/12/2023;17:09:15;17,83;45;0;9;E2_DT1
18/12/2023;17:11:50;17,83;46;0;9;E2_DT1
18/12/2023;17:13:35;17,83;46;0;9;E2_DT1
18/12/2023;17:14:28;17,83;46;0;9;E2_DT1
18/12/2023;17:16:13;17,78;45;0;9;E2_DT1
18/12/2023;17:17:58;17,78;45;0;9;E2_DT1
18/12/2023;17:19:43;17,78;45;0;9;E2_DT1
18/12/2023;17:21:28;17,72;45;0;9;E2_DT1
18/12/2023;17:23:13;17,72;45;0;9;E2_DT1
18/12/2023;17:25:50;17,67;45;0;9;E2_DT1
18/12/2023;17:28:28;17,61;45;0;9;E2_DT1
18/12/2023;17:30:13;17,61;45;0;9;E2_DT1
18/12/2023;17:31:58;17,57;45;0;9;E2_DT1
18/12/2023;17:34:35;17,56;45;0;9;E2_DT1
18/12/2023;17:36:20;17,5;45;0;9;E2_DT1
18/12/2023;17:38:05;17,49;45;0;9;E2_DT1
18/12/2023;17:40:43;17,42;45;0;9;E2_DT1
18/12/2023;17:41:49;17,39;45;0;9;E2_DT1
18/12/2023;17:44:16;17,33;45;0;9;E2_DT1
18/12/2023;17:46:01;17,28;45;0;9;E2_DT1
18/12/2023;17:47:46;17,28;45;0;9;E2_DT1
18/12/2023;17:49:28;17,22;45;0;9;E2_DT1
18/12/2023;17:50:21;17,22;45;0;9;E2_DT1
18/12/2023;17:52:06;17,17;45;0;9;E2_DT1
18/12/2023;17:54:43;17,17;45;0;9;E2_DT1
18/12/2023;17:56:28;17,11;45;0;9;E2_DT1
18/12/2023;17:58:13;17,11;46;0;9;E2_DT1
18/12/2023;17:59:58;17,11;46;0;9;E2_DT1
18/12/2023;18:01:43;17,06;46;0;9;E2_DT1
18/12/2023;18:04:21;17;46;0;9;E2_DT1
18/12/2023;18:06:19;17;46;0;9;E2_DT1
18/12/2023;18:08:43;16,97;46;0;9;E2_DT1
18/12/2023;18:10:28;16,96;46;0;9;E2_DT1
18/12/2023;18:13:06;16,92;46;0;9;E2_DT1
18/12/2023;18:14:51;16,86;46;0;9;E2_DT1
18/12/2023;18:16:38;16,83;46;0;9;E2_DT1
18/12/2023;18:18:23;16,83;46;0;9;E2_DT1
18/12/2023;18:20:58;16,79;46;0;9;E2_DT1
18/12/2023;18:22:46;16,78;46;0;9;E2_DT1
18/12/2023;18:23:36;16,78;46;0;9;E2_DT1
18/12/2023;18:25:21;16,72;46;0;9;E2_DT1
18/12/2023;18:27:06;16,67;46;0;9;E2_DT1
18/12/2023;18:28:51;16,67;46;0;9;E2_DT1
18/12/2023;18:30:36;16,67;46;0;9;E2_DT1
18/12/2023;18:33:13;16,65;46;0;9;E2_DT1
18/12/2023;18:34:58;16,61;46;0;9;E2_DT1
18/12/2023;18:36:43;16,58;46;0;9;E2_DT1
18/12/2023;18:38:28;16,56;46;0;9;E2_DT1
18/12/2023;18:41:06;16,56;46;0;9;E2_DT1
18/12/2023;18:43:04;16,5;46;0;9;E2_DT1
18/12/2023;18:45:28;16,44;47;0;9;E2_DT1
18/12/2023;18:47:13;16,44;47;0;9;E2_DT1
18/12/2023;18:48:58;16,44;47;0;9;E2_DT1
18/12/2023;18:50:43;16,44;47;0;9;E2_DT1
18/12/2023;18:52:31;16,39;47;0;9;E2_DT1
18/12/2023;18:54:16;16,39;47;0;9;E2_DT1
18/12/2023;18:56:01;16,33;47;0;9;E2_DT1
18/12/2023;18:57:46;16,33;47;0;9;E2_DT1
18/12/2023;18:59:39;16,33;47;0;9;E2_DT1
18/12/2023;19:01:13;16,31;47;0;9;E2_DT1
18/12/2023;19:02:09;16,28;47;0;9;E2_DT1
