fecha;hora;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;fecha_hora
2023-12-02;08:14:16;19,69;62;0;9;E1_P1;;2023-12-02 08:14:16
2023-12-02;08:14:54;20,15;61;0;9;E1_P2;;2023-12-02 08:14:54
2023-12-02;08:16:50;19,72;62;0;9;E1_P1;;2023-12-02 08:16:50
2023-12-02;08:17:32;20,17;61;0;9;E1_P2;;2023-12-02 08:17:32
2023-12-02;08:20:32;0;0;0;0;E1_P1;;2023-12-02 08:20:32
2023-12-02;08:21:02;20,11;61;0;9;E1_P2;;2023-12-02 08:21:02
2023-12-02;08:22:51;19,72;62;0;9;E1_P1;;2023-12-02 08:22:51
2023-12-02;08:23:00;20,11;61;0;9;E1_P2;;2023-12-02 08:23:00
2023-12-02;08:26:01;19,72;0;0;9;E1_P1;;2023-12-02 08:26:01
2023-12-02;08:26:19;20,11;61;0;9;E1_P2;;2023-12-02 08:26:19
2023-12-02;08:29:19;0;0;0;0;E1_P1;;2023-12-02 08:29:19
2023-12-02;08:29:47;20,11;61;0;9;E1_P2;;2023-12-02 08:29:47
2023-12-02;08:32:13;19,72;62;0;9;E1_P1;;2023-12-02 08:32:13
2023-12-02;08:32:24;20,11;61;0;9;E1_P2;;2023-12-02 08:32:24
2023-12-02;08:34:46;19,75;62;0;9;E1_P1;;2023-12-02 08:34:46
2023-12-02;08:35:04;20,17;61;0;9;E1_P2;;2023-12-02 08:35:04
2023-12-02;08:37:30;19,78;62;0;9;E1_P1;;2023-12-02 08:37:30
2023-12-02;08:37:52;20,17;61;0;9;E1_P2;;2023-12-02 08:37:52
2023-12-02;08:39:54;19,72;62;0;9;E1_P1;;2023-12-02 08:39:54
2023-12-02;08:41:09;20,17;61;0;9;E1_P2;;2023-12-02 08:41:09
2023-12-02;08:43:19;19,78;62;0;9;E1_P1;;2023-12-02 08:43:19
2023-12-02;08:43:47;20,17;61;0;9;E1_P2;;2023-12-02 08:43:47
2023-12-02;08:45:08;19,97;61;0;9;E1_P1;;2023-12-02 08:45:08
2023-12-02;08:45:53;19,78;62;0;9;E1_P1;;2023-12-02 08:45:53
2023-12-02;08:46:24;20,17;61;0;9;E1_P2;;2023-12-02 08:46:24
2023-12-02;08:46:40;19,97;61;0;9;E1_P1;;2023-12-02 08:46:40
2023-12-02;08:48:12;19,98;61;0;9;E1_P1;;2023-12-02 08:48:12
