;fecha;hora;;;;;;;;
Lower-DT2;12/03/2024;11:21:00;1.53;-1.00;9.33;291;11.27;291;-59;Ok
Lower-DT2;12/03/2024;11:23:12;1.51;74.50;9.86;300;11.27;309;-59;Ok
Lower-DT2;12/03/2024;11:25:09;1.56;74.70;10.06;315;11.27;317;-59;Ok
Lower-DT2;12/03/2024;11:27:10;1.50;74.60;10.46;302;11.27;305;-59;Ok
Lower-DT2;12/03/2024;11:29:05;1.53;75.60;10.84;324;12.87;332;-58;Ok
Lower-DT2;12/03/2024;11:31:14;1.56;75.80;10.19;318;12.87;317;-58;Ok
Lower-DT2;12/03/2024;11:33:00;1.63;75.90;9.77;318;12.87;318;-58;Ok
Lower-DT2;12/03/2024;11:34:57;1.61;75.60;11.00;329;12.87;329;-58;Ok
Lower-DT2;12/03/2024;11:36:55;1.61;74.60;13.41;321;16.09;325;-58;Ok
Lower-DT2;12/03/2024;11:39:51;1.56;74.80;12.61;328;12.87;332;-59;Ok
Lower-DT2;12/03/2024;11:41:04;1.56;74.70;10.46;313;11.27;313;-58;Ok
Lower-DT2;12/03/2024;11:43:46;1.57;75.50;14.58;328;16.09;338;-59;Ok
Lower-DT2;12/03/2024;11:45:46;1.50;75.50;10.19;317;11.27;318;-58;Ok
Lower-DT2;12/03/2024;11:47:41;1.56;76.10;13.45;321;16.09;325;-59;Ok
Lower-DT2;12/03/2024;11:48:40;1.56;76.10;11.53;319;12.87;317;-58;Ok
Lower-DT2;12/03/2024;11:50:52;1.56;76.40;12.47;317;12.87;320;-58;Ok
Lower-DT2;12/03/2024;11:52:46;1.63;76.50;13.88;313;16.09;318;-58;Ok
Lower-DT2;12/03/2024;11:53:45;1.61;76.70;14.08;324;14.48;324;-58;Ok
Lower-DT2;12/03/2024;11:55:34;1.67;76.60;14.48;327;14.48;326;-59;Ok
Lower-DT2;12/03/2024;11:57:31;1.72;77.20;10.46;313;11.27;302;-58;Ok
Lower-DT2;12/03/2024;11:59:26;1.72;77.20;8.85;303;9.66;309;-59;Ok
Lower-DT2;12/03/2024;12:01:23;1.72;76.80;12.34;304;14.48;300;-59;Ok
Lower-DT2;12/03/2024;12:03:33;1.78;77.30;16.68;322;19.31;329;-58;Ok
Lower-DT2;12/03/2024;12:04:34;1.67;77.10;15.29;313;16.09;309;-59;Ok
Lower-DT2;12/03/2024;12:07:16;1.67;77.50;13.36;323;16.09;314;-58;Ok
Lower-DT2;12/03/2024;12:08:15;1.67;77.20;13.28;315;14.48;313;-59;Ok
Lower-DT2;12/03/2024;12:09:16;1.67;77.50;12.87;311;12.87;310;-59;Ok
Lower-DT2;12/03/2024;12:11:14;1.72;77.60;10.46;313;11.27;314;-58;Ok
Lower-DT2;12/03/2024;12:13:09;1.67;77.30;12.34;318;12.87;322;-59;Ok
Lower-DT2;12/03/2024;12:15:06;1.67;77.50;11.00;309;12.87;313;-59;Ok
Lower-DT2;12/03/2024;12:17:04;1.67;77.50;10.09;304;12.87;305;-58;Ok
Lower-DT2;12/03/2024;12:19:01;1.72;78.00;9.50;312;9.66;320;-59;Ok
Lower-DT2;12/03/2024;12:20:59;1.78;77.60;12.55;324;16.09;338;-59;Ok
Lower-DT2;12/03/2024;12:22:56;1.72;77.60;12.67;324;16.09;324;-59;Ok
Lower-DT2;12/03/2024;12:24:57;1.78;78.10;10.46;312;11.27;310;-59;Ok
Lower-DT2;12/03/2024;12:26:51;1.81;77.70;9.76;299;12.87;316;-59;Ok
Lower-DT2;12/03/2024;12:28:52;1.78;77.70;16.90;318;17.70;313;-58;Ok
Lower-DT2;12/03/2024;12:30:46;1.81;77.40;10.89;309;12.87;309;-58;Ok
Lower-DT2;12/03/2024;12:32:55;1.83;77.70;10.94;300;12.87;296;-58;Ok
Lower-DT2;12/03/2024;12:33:57;1.83;76.70;11.67;305;12.87;302;-59;Ok
Lower-DT2;12/03/2024;12:36:39;1.81;75.70;11.27;301;12.87;313;-58;Ok
Lower-DT2;12/03/2024;12:37:40;1.83;75.50;16.90;321;17.70;322;-59;Ok
Lower-DT2;12/03/2024;12:39:38;1.83;74.40;17.35;316;20.92;314;-58;Ok
Lower-DT2;12/03/2024;12:41:32;1.78;74.80;11.27;296;14.48;297;-59;Ok
Lower-DT2;12/03/2024;12:43:30;1.83;73.80;17.06;320;17.70;324;-58;Ok
Lower-DT2;12/03/2024;12:45:27;1.83;73.60;17.12;315;20.92;330;-58;Ok
Lower-DT2;12/03/2024;12:47:25;1.86;72.90;17.41;315;19.31;310;-59;Ok
Lower-DT2;12/03/2024;12:49:22;1.85;72.80;16.40;310;20.92;310;-58;Ok
Lower-DT2;12/03/2024;12:51:20;1.89;72.00;18.11;324;20.92;325;-58;Ok
Lower-DT2;12/03/2024;12:54:19;1.89;70.30;22.53;313;22.53;317;-58;Ok
Lower-DT2;12/03/2024;12:55:15;1.94;71.40;16.50;321;20.92;321;-59;Ok
Lower-DT2;12/03/2024;12:58:11;2.00;69.40;19.31;338;22.53;326;-59;Ok
Lower-DT2;12/03/2024;13:00:09;1.97;69.40;15.22;331;16.09;338;-59;Ok
Lower-DT2;12/03/2024;13:02:06;1.97;68.60;17.41;323;19.31;325;-59;Ok
Lower-DT2;12/03/2024;13:04:04;1.94;68.50;18.14;315;19.31;312;-59;Ok
Lower-DT2;12/03/2024;13:06:01;2.00;69.50;18.51;340;20.92;340;-59;Ok
Lower-DT2;12/03/2024;13:07:03;2.06;68.70;13.68;310;14.48;306;-59;Ok
Lower-DT2;12/03/2024;13:08:58;2.04;68.90;17.27;319;19.31;312;-58;Ok
Lower-DT2;12/03/2024;13:10:55;2.00;69.30;15.83;330;17.70;332;-59;Ok
Lower-DT2;12/03/2024;13:12:53;1.94;68.90;17.17;323;19.31;328;-59;Ok
Lower-DT2;12/03/2024;13:14:50;2.00;70.00;16.82;327;17.70;341;-59;Ok
Lower-DT2;12/03/2024;13:16:48;2.06;69.20;16.90;321;17.70;322;-59;Ok
Lower-DT2;12/03/2024;13:18:57;2.17;68.40;19.96;327;24.14;332;-59;Ok
Lower-DT2;12/03/2024;13:20:43;2.19;68.90;16.50;331;19.31;349;-59;Ok
Lower-DT2;12/03/2024;13:23:39;2.36;69.70;12.14;321;12.87;325;-58;Ok
Lower-DT2;12/03/2024;13:25:36;2.56;70.30;17.97;312;19.31;316;-59;Ok
Lower-DT2;12/03/2024;13:27:34;2.56;67.60;13.68;322;14.48;324;-59;Ok
Lower-DT2;12/03/2024;13:29:43;2.50;67.60;16.09;318;17.70;324;-59;Ok
Lower-DT2;12/03/2024;13:32:39;2.52;67.40;18.80;304;24.14;300;-58;Ok
Lower-DT2;12/03/2024;13:34:25;2.54;67.70;16.50;326;19.31;322;-60;Ok
Lower-DT2;12/03/2024;13:35:27;2.56;67.60;11.27;312;11.27;305;-60;Ok
Lower-DT2;12/03/2024;13:38:20;2.72;67.90;17.92;313;20.92;332;-59;Ok
Lower-DT2;12/03/2024;13:40:18;2.50;66.40;15.29;317;16.09;316;-60;Ok
Lower-DT2;12/03/2024;13:41:19;2.44;66.60;16.09;332;16.09;334;-59;Ok
Lower-DT2;12/03/2024;13:43:14;2.39;67.50;15.65;321;17.70;321;-59;Ok
Lower-DT2;12/03/2024;13:45:14;2.39;68.60;19.31;314;19.31;308;-59;Ok
Lower-DT2;12/03/2024;13:47:09;2.33;67.30;17.70;318;22.53;318;-59;Ok
Lower-DT2;12/03/2024;13:49:07;2.28;68.30;16.90;303;19.31;302;-59;Ok
Lower-DT2;12/03/2024;13:51:30;2.39;67.80;17.24;323;20.92;320;-58;Ok
Lower-DT2;12/03/2024;13:53:02;2.47;69.30;17.52;345;19.31;334;-58;Ok
Lower-DT2;12/03/2024;13:54:03;2.56;70.10;15.29;340;16.09;336;-59;Ok
Lower-DT2;12/03/2024;13:55:58;2.67;69.90;16.90;324;19.31;325;-60;Ok
Lower-DT2;12/03/2024;13:57:55;2.61;70.50;16.42;328;20.92;324;-60;Ok
Lower-DT2;12/03/2024;13:59:53;2.67;70.30;14.13;321;16.09;313;-60;Ok
Lower-DT2;12/03/2024;14:01:50;2.83;70.90;18.39;311;20.92;340;-58;Ok
Lower-DT2;12/03/2024;14:03:48;2.75;70.00;14.99;271;20.92;10;-58;Ok
Lower-DT2;12/03/2024;14:05:48;2.67;71.30;18.51;321;20.92;322;-59;Ok
Lower-DT2;12/03/2024;14:06:44;2.61;70.20;16.09;322;16.09;334;-60;Ok
Lower-DT2;12/03/2024;14:08:42;2.61;69.70;17.70;325;19.31;320;-60;Ok
Lower-DT2;12/03/2024;14:10:39;2.61;70.30;15.02;308;16.09;310;-60;Ok
Lower-DT2;12/03/2024;14:13:35;2.56;70.90;14.48;308;16.09;304;-60;Ok
Lower-DT2;12/03/2024;14:15:33;2.65;71.00;17.80;322;20.92;326;-60;Ok
Lower-DT2;12/03/2024;14:17:30;2.78;71.10;17.30;264;17.70;9;-59;Ok
Lower-DT2;12/03/2024;14:19:54;2.72;70.80;19.58;323;22.53;334;-60;Ok
Lower-DT2;12/03/2024;14:21:25;2.69;71.40;19.49;339;22.53;336;-60;Ok
Lower-DT2;12/03/2024;14:22:24;2.67;70.80;18.35;326;19.31;334;-60;Ok
Lower-DT2;12/03/2024;14:25:18;2.83;-1.00;13.28;341;14.48;344;-59;Ok
Lower-DT2;12/03/2024;14:27:18;2.83;71.80;18.67;328;20.92;336;-60;Ok
Lower-DT2;12/03/2024;14:28:31;2.83;71.20;13.68;335;14.48;340;-59;Ok
Lower-DT2;12/03/2024;14:30:14;2.80;72.40;15.77;310;20.92;337;-60;Ok
Lower-DT2;12/03/2024;14:32:12;2.85;70.90;17.60;342;20.92;351;-60;Ok
Lower-DT2;12/03/2024;14:35:11;2.83;71.40;19.31;335;19.31;334;-60;Ok
Lower-DT2;12/03/2024;14:36:07;2.83;72.90;15.83;324;17.70;322;-60;Ok
Lower-DT2;12/03/2024;14:38:04;2.94;72.30;16.09;145;17.70;351;-59;Ok
Lower-DT2;12/03/2024;14:40:02;2.94;71.30;20.46;317;24.14;340;-60;Ok
Lower-DT2;12/03/2024;14:41:59;2.94;71.80;12.87;275;14.48;333;-60;Ok
Lower-DT2;12/03/2024;14:43:10;2.94;71.80;14.48;95;16.09;13;-60;Ok
Lower-DT2;12/03/2024;14:44:56;2.86;72.20;18.42;159;19.31;9;-59;Ok
Lower-DT2;12/03/2024;14:46:56;2.72;72.20;17.70;176;17.70;9;-60;Ok
Lower-DT2;12/03/2024;14:48:04;2.78;72.80;14.89;178;16.09;10;-60;Ok
Lower-DT2;12/03/2024;14:49:52;2.78;73.00;16.90;19;17.70;17;-60;Ok
Lower-DT2;12/03/2024;14:52:02;2.67;72.60;18.78;120;20.92;10;-60;Ok
Lower-DT2;12/03/2024;14:53:44;2.61;72.60;19.98;261;22.53;351;-60;Ok
Lower-DT2;12/03/2024;14:55:42;2.56;72.90;15.93;176;17.70;351;-60;Ok
Lower-DT2;12/03/2024;14:58:38;2.56;72.30;17.40;261;20.92;351;-61;Ok
Lower-DT2;12/03/2024;15:00:36;2.54;72.30;17.70;312;20.92;342;-60;Ok
Lower-DT2;12/03/2024;15:02:45;2.61;73.20;19.85;341;22.53;337;-59;Ok
Lower-DT2;12/03/2024;15:04:31;2.56;72.40;19.31;194;20.92;9;-60;Ok
Lower-DT2;12/03/2024;15:06:43;2.50;73.00;17.30;175;19.31;345;-59;Ok
Lower-DT2;12/03/2024;15:08:26;2.50;73.00;15.29;56;16.09;9;-58;Ok
Lower-DT2;12/03/2024;15:09:25;2.50;72.60;15.29;20;17.70;23;-60;Ok
Lower-DT2;12/03/2024;15:11:37;2.44;73.20;15.29;262;17.70;9;-59;Ok
Lower-DT2;12/03/2024;15:13:20;2.49;73.30;15.24;125;17.70;351;-60;Ok
Lower-DT2;12/03/2024;15:15:29;2.50;73.40;12.47;12;12.87;21;-59;Ok
Lower-DT2;12/03/2024;15:16:28;2.56;73.60;14.48;13;16.09;9;-59;Ok
Lower-DT2;12/03/2024;15:19:12;2.50;72.50;15.95;9;19.31;13;-60;Ok
Lower-DT2;12/03/2024;15:21:13;2.33;72.80;15.29;12;16.09;9;-59;Ok
Lower-DT2;12/03/2024;15:23:07;2.28;72.90;18.45;37;22.53;9;-59;Ok
Lower-DT2;12/03/2024;15:26:03;2.22;74.00;15.22;15;17.70;18;-60;Ok
Lower-DT2;12/03/2024;15:29:00;2.28;74.10;11.47;136;12.87;351;-60;Ok
Lower-DT2;12/03/2024;15:30:01;2.33;74.60;13.68;9;14.48;10;-60;Ok
Lower-DT2;12/03/2024;15:31:59;2.44;74.40;12.07;347;12.87;345;-60;Ok
Lower-DT2;12/03/2024;15:33:53;2.61;74.60;15.83;24;17.70;35;-60;Ok
Lower-DT2;12/03/2024;15:36:50;2.67;73.80;17.93;20;24.14;26;-60;Ok
Lower-DT2;12/03/2024;15:38:47;2.75;72.60;16.58;21;20.92;31;-60;Ok
Lower-DT2;12/03/2024;15:40:01;2.72;73.30;17.70;16;19.31;14;-61;Ok
Lower-DT2;12/03/2024;15:41:43;2.71;73.10;16.60;72;19.31;18;-60;Ok
Lower-DT2;12/03/2024;15:43:41;2.67;73.10;14.34;39;19.31;9;-60;Ok
Lower-DT2;12/03/2024;15:46:05;2.67;74.10;15.02;16;17.70;14;-59;Ok
Lower-DT2;12/03/2024;15:47:36;2.67;74.00;18.16;11;20.92;9;-60;Ok
Lower-DT2;12/03/2024;15:49:33;2.67;74.80;15.56;25;17.70;38;-60;Ok
Lower-DT2;12/03/2024;15:51:31;2.74;74.20;17.83;39;20.92;14;-59;Ok
Lower-DT2;12/03/2024;15:53:31;2.72;74.50;21.24;19;22.53;11;-60;Ok
Lower-DT2;12/03/2024;15:54:42;2.67;74.50;21.73;12;22.53;10;-60;Ok
Lower-DT2;12/03/2024;15:57:24;2.61;74.70;21.46;69;24.14;21;-60;Ok
Lower-DT2;12/03/2024;15:58:22;2.56;74.80;18.91;18;22.53;27;-60;Ok
Lower-DT2;12/03/2024;16:00:20;2.50;75.10;15.85;24;20.92;26;-60;Ok
Lower-DT2;12/03/2024;16:03:16;2.56;75.70;21.73;31;24.14;37;-60;Ok
Lower-DT2;12/03/2024;16:05:25;2.56;76.30;18.51;16;19.31;17;-59;Ok
Lower-DT2;12/03/2024;16:07:11;2.67;76.20;18.95;19;25.75;23;-59;Ok
Lower-DT2;12/03/2024;16:09:09;2.61;74.90;19.58;16;22.53;27;-60;Ok
Lower-DT2;12/03/2024;16:11:18;2.67;76.10;19.20;24;22.53;34;-60;Ok
Lower-DT2;12/03/2024;16:13:07;2.61;75.80;17.70;26;17.70;23;-60;Ok
Lower-DT2;12/03/2024;16:16:00;2.56;76.20;17.49;23;20.92;34;-59;Ok
Lower-DT2;12/03/2024;16:18:59;2.56;76.80;11.27;21;11.27;14;-60;Ok
Lower-DT2;12/03/2024;16:20:54;2.61;76.40;17.41;18;20.92;25;-60;Ok
Lower-DT2;12/03/2024;16:23:06;2.56;76.40;17.70;23;19.31;19;-60;Ok
Lower-DT2;12/03/2024;16:24:49;2.50;76.20;15.95;28;20.92;33;-61;Ok
Lower-DT2;12/03/2024;16:26:46;2.50;76.50;20.12;40;20.92;42;-61;Ok
Lower-DT2;12/03/2024;16:27:48;2.50;76.60;20.12;30;20.92;33;-60;Ok
Lower-DT2;12/03/2024;16:29:54;2.50;76.90;14.08;28;14.48;23;-60;Ok
Lower-DT2;12/03/2024;16:31:40;2.50;76.00;19.04;41;20.92;33;-61;Ok
Lower-DT2;12/03/2024;16:33:40;2.39;75.50;20.92;45;20.92;47;-60;Ok
Lower-DT2;12/03/2024;16:35:35;2.28;75.60;23.12;37;25.75;37;-60;Ok
Lower-DT2;12/03/2024;16:37:33;2.22;76.10;19.31;46;22.53;42;-60;Ok
Lower-DT2;12/03/2024;16:39:59;2.28;-1.00;15.16;41;20.92;38;-59;Ok
Lower-DT2;12/03/2024;16:41:28;2.33;76.60;16.50;35;17.70;31;-49;Ok
Lower-DT2;12/03/2024;16:42:41;2.39;77.20;15.29;55;16.09;57;-60;Ok
Lower-DT2;12/03/2024;16:44:27;2.56;77.40;13.68;38;14.48;37;-60;Ok
Lower-DT2;12/03/2024;16:47:20;2.50;76.90;16.36;37;17.70;47;-60;Ok
Lower-DT2;12/03/2024;16:49:18;2.56;77.30;18.45;33;22.53;22;-60;Ok
Lower-DT2;12/03/2024;16:51:15;2.53;77.40;16.09;43;17.70;25;-60;Ok
Lower-DT2;12/03/2024;16:52:29;2.44;77.20;22.13;49;27.36;43;-60;Ok
Lower-DT2;12/03/2024;16:54:11;2.39;77.10;19.31;38;20.92;46;-61;Ok
Lower-DT2;12/03/2024;16:56:09;2.33;77.30;21.46;37;28.97;35;-60;Ok
Lower-DT2;12/03/2024;16:58:09;2.33;77.10;24.94;52;25.75;49;-61;Ok
Lower-DT2;12/03/2024;17:00:04;2.22;77.50;20.38;41;22.53;49;-60;Ok
Lower-DT2;12/03/2024;17:02:13;2.28;77.10;24.14;47;25.75;46;-60;Ok
Lower-DT2;12/03/2024;17:03:59;2.33;77.10;20.63;44;24.14;47;-61;Ok
Lower-DT2;12/03/2024;17:05:56;2.28;77.10;19.17;42;22.53;35;-60;Ok
Lower-DT2;12/03/2024;17:07:54;2.31;76.90;21.14;37;24.14;50;-60;Ok
Lower-DT2;12/03/2024;17:09:51;2.28;77.70;20.12;39;24.14;45;-61;Ok
Lower-DT2;12/03/2024;17:12:48;2.28;78.00;22.26;49;27.36;51;-60;Ok
Lower-DT2;12/03/2024;17:14:45;2.33;77.80;21.99;48;24.14;46;-61;Ok
Lower-DT2;12/03/2024;17:17:41;2.22;77.80;19.31;50;22.53;57;-61;Ok
Lower-DT2;12/03/2024;17:19:39;2.17;77.80;22.09;46;25.75;47;-61;Ok
Lower-DT2;12/03/2024;17:20:52;2.11;77.70;24.54;48;27.36;45;-60;Ok
Lower-DT2;12/03/2024;17:22:35;2.06;77.90;21.99;47;25.75;57;-60;Ok
Lower-DT2;12/03/2024;17:24:33;2.06;77.90;20.52;46;24.14;50;-61;Ok
Lower-DT2;12/03/2024;17:26:42;2.06;77.80;22.93;51;24.14;53;-60;Ok
Lower-DT2;12/03/2024;17:28:28;2.06;78.30;19.67;49;22.53;55;-60;Ok
Lower-DT2;12/03/2024;17:31:19;2.00;-1.00;20.74;53;27.36;58;-62;Ok
Lower-DT2;12/03/2024;17:34:20;2.00;78.00;20.21;52;22.53;57;-60;Ok
Lower-DT2;12/03/2024;17:35:31;2.06;78.10;20.92;61;22.53;61;-60;Ok
Lower-DT2;12/03/2024;17:37:17;2.04;78.00;21.54;55;24.14;61;-61;Ok
Lower-DT2;12/03/2024;17:39:17;2.06;78.00;19.31;58;22.53;62;-61;Ok
Lower-DT2;12/03/2024;17:42:10;2.00;77.60;22.40;57;25.75;61;-60;Ok
Lower-DT2;12/03/2024;17:43:09;2.00;78.10;18.67;58;20.92;69;-61;Ok
Lower-DT2;12/03/2024;17:46:02;2.00;-1.00;21.61;58;24.14;58;-60;Ok
Lower-DT2;12/03/2024;17:48:06;1.94;78.40;20.92;72;22.53;72;-60;Ok
Lower-DT2;12/03/2024;17:49:16;1.94;78.50;22.93;59;24.14;55;-61;Ok
Lower-DT2;12/03/2024;17:50:59;1.90;78.20;22.73;50;25.75;59;-60;Ok
Lower-DT2;12/03/2024;17:52:57;1.87;78.30;23.64;50;27.36;55;-60;Ok
Lower-DT2;12/03/2024;17:56:52;1.92;78.70;20.28;54;22.53;59;-60;Ok
Lower-DT2;12/03/2024;17:59:04;1.89;78.70;22.53;66;22.53;61;-61;Ok
Lower-DT2;12/03/2024;18:00:47;1.94;78.70;17.58;55;19.31;54;-61;Ok
Lower-DT2;12/03/2024;18:02:44;1.94;78.70;18.99;62;20.92;61;-61;Ok
Lower-DT2;12/03/2024;18:03:58;1.94;78.60;19.85;58;20.92;58;-61;Ok
Lower-DT2;12/03/2024;18:06:39;1.94;78.00;21.12;55;22.53;50;-60;Ok
Lower-DT2;12/03/2024;18:08:40;2.00;78.20;19.31;54;19.31;58;-61;Ok
Lower-DT2;12/03/2024;18:10:46;2.06;78.20;19.31;48;20.92;43;-60;Ok
Lower-DT2;12/03/2024;18:12:32;2.06;77.30;23.34;53;25.75;54;-61;Ok
