;fecha;hora;;;;;;;;
Lower-DT2;12/03/2024;8:34:35;0.67;-1.00;15.69;258;19.31;271;-50;Ok
Lower-DT2;12/03/2024;8:36:44;0.67;74.70;19.67;258;22.53;267;-57;Ok
Lower-DT2;12/03/2024;8:38:53;0.67;75.00;16.32;268;19.31;267;-57;Ok
Lower-DT2;12/03/2024;8:40:39;0.67;75.30;17.47;273;24.14;274;-58;Ok
Lower-DT2;12/03/2024;8:42:36;0.67;75.30;15.80;266;17.70;258;-58;Ok
Lower-DT2;12/03/2024;8:43:50;0.67;74.90;14.48;268;14.48;273;-58;Ok
Lower-DT2;12/03/2024;8:45:32;0.67;74.60;14.94;261;17.70;261;-58;Ok
Lower-DT2;12/03/2024;8:47:30;0.67;75.00;17.70;270;22.53;267;-58;Ok
Lower-DT2;12/03/2024;8:48:32;0.67;74.80;20.92;273;20.92;267;-58;Ok
Lower-DT2;12/03/2024;8:51:25;0.67;74.30;17.90;267;22.53;274;-58;Ok
Lower-DT2;12/03/2024;8:53:25;0.72;74.10;15.56;267;16.09;273;-58;Ok
Lower-DT2;12/03/2024;8:55:20;0.67;73.90;17.59;261;20.92;269;-58;Ok
Lower-DT2;12/03/2024;8:57:17;0.69;74.50;14.94;262;17.70;267;-58;Ok
Lower-DT2;12/03/2024;9:00:14;0.70;74.80;13.14;269;16.09;274;-58;Ok
Lower-DT2;12/03/2024;9:02:14;0.72;75.50;12.87;271;12.87;273;-58;Ok
Lower-DT2;12/03/2024;9:03:13;0.72;75.60;12.87;276;12.87;275;-58;Ok
Lower-DT2;12/03/2024;9:06:06;0.72;74.80;16.80;253;20.92;250;-58;Ok
Lower-DT2;12/03/2024;9:08:07;0.78;75.10;12.07;270;12.87;274;-58;Ok
Lower-DT2;12/03/2024;9:10:01;0.78;74.80;14.81;273;17.70;275;-58;Ok
Lower-DT2;12/03/2024;9:12:02;0.78;74.80;9.12;270;9.66;275;-58;Ok
Lower-DT2;12/03/2024;9:15:07;0.78;74.90;11.87;283;12.87;285;-58;Ok
Lower-DT2;12/03/2024;9:16:55;0.78;74.90;16.90;287;17.70;289;-58;Ok
Lower-DT2;12/03/2024;9:18:50;0.78;75.10;11.67;278;14.48;278;-58;Ok
Lower-DT2;12/03/2024;9:20:48;0.78;75.20;9.39;279;9.66;283;-58;Ok
Lower-DT2;12/03/2024;9:22:45;0.83;75.50;9.98;278;11.27;274;-58;Ok
Lower-DT2;12/03/2024;9:25:53;0.83;75.70;13.31;265;16.09;274;-57;Ok
Lower-DT2;12/03/2024;9:26:55;0.83;75.70;11.80;271;12.87;274;-58;Ok
Lower-DT2;12/03/2024;9:29:36;0.83;75.70;10.81;283;12.87;296;-59;Ok
Lower-DT2;12/03/2024;9:31:37;0.83;74.90;15.29;295;16.09;294;-59;Ok
Lower-DT2;12/03/2024;9:33:34;0.83;75.20;8.85;288;9.66;291;-59;Ok
Lower-DT2;12/03/2024;9:34:30;0.83;75.40;13.84;286;14.48;296;-58;Ok
Lower-DT2;12/03/2024;9:37:29;0.89;75.70;9.66;290;9.66;293;-58;Ok
Lower-DT2;12/03/2024;9:39:36;0.89;75.40;13.41;301;14.48;300;-58;Ok
Lower-DT2;12/03/2024;9:41:21;0.89;75.30;13.46;300;14.48;297;-58;Ok
Lower-DT2;12/03/2024;9:44:18;0.89;75.30;12.44;299;14.48;305;-58;Ok
Lower-DT2;12/03/2024;9:46:18;0.94;75.40;12.07;297;12.87;301;-58;Ok
Lower-DT2;12/03/2024;9:48:13;0.92;75.30;11.47;304;14.48;305;-58;Ok
Lower-DT2;12/03/2024;9:50:10;0.94;75.30;10.30;299;11.27;302;-58;Ok
Lower-DT2;12/03/2024;9:59:14;1.06;75.20;11.67;289;12.87;289;-58;Ok
Lower-DT2;12/03/2024;10:00:12;1.06;75.50;11.27;288;11.27;289;-59;Ok
Lower-DT2;12/03/2024;10:02:54;1.06;74.60;13.41;282;14.48;283;-58;Ok
Lower-DT2;12/03/2024;10:04:52;1.06;74.40;10.30;275;11.27;281;-58;Ok
Lower-DT2;12/03/2024;10:06:49;1.04;74.60;16.44;290;17.70;283;-58;Ok
Lower-DT2;12/03/2024;10:08:47;1.06;74.80;13.05;287;14.48;287;-58;Ok
Lower-DT2;12/03/2024;10:11:43;1.07;75.40;13.84;285;16.09;297;-58;Ok
Lower-DT2;12/03/2024;10:13:40;1.09;75.30;10.62;278;12.87;279;-58;Ok
Lower-DT2;12/03/2024;10:14:42;1.11;75.20;12.07;287;12.87;285;-59;Ok
Lower-DT2;12/03/2024;10:17:35;1.11;74.90;10.16;295;12.87;300;-58;Ok
Lower-DT2;12/03/2024;10:19:33;1.17;75.50;11.53;304;12.87;302;-58;Ok
Lower-DT2;12/03/2024;10:21:30;1.17;74.40;13.10;297;14.48;314;-58;Ok
Lower-DT2;12/03/2024;10:24:27;1.22;74.70;13.17;287;14.48;297;-59;Ok
Lower-DT2;12/03/2024;10:26:36;1.22;73.60;13.63;295;16.09;300;-58;Ok
Lower-DT2;12/03/2024;10:28:22;1.22;73.30;11.87;293;12.87;296;-59;Ok
Lower-DT2;12/03/2024;10:31:18;1.26;73.30;11.87;288;14.48;294;-59;Ok
Lower-DT2;12/03/2024;10:33:15;1.28;73.60;13.14;301;14.48;306;-59;Ok
Lower-DT2;12/03/2024;10:35:13;1.28;72.80;12.61;299;12.87;294;-59;Ok
Lower-DT2;12/03/2024;10:37:22;1.28;72.50;12.23;289;14.48;287;-58;Ok
Lower-DT2;12/03/2024;10:38:24;1.28;72.40;11.27;291;11.27;291;-59;Ok
Lower-DT2;12/03/2024;10:41:05;1.31;73.10;9.08;296;11.27;300;-59;Ok
Lower-DT2;12/03/2024;10:42:07;1.33;73.30;9.66;284;11.27;286;-59;Ok
Lower-DT2;12/03/2024;10:45:01;1.33;72.90;11.27;294;12.87;298;-58;Ok
Lower-DT2;12/03/2024;10:45:59;1.33;72.70;12.87;293;14.48;293;-58;Ok
Lower-DT2;12/03/2024;10:47:57;1.33;73.10;11.27;301;11.27;309;-59;Ok
Lower-DT2;12/03/2024;10:49:54;1.31;72.80;10.81;297;12.87;302;-59;Ok
Lower-DT2;12/03/2024;10:52:51;1.33;72.80;11.41;280;12.87;286;-59;Ok
Lower-DT2;12/03/2024;10:55:00;1.35;72.90;7.86;285;9.66;279;-58;Ok
Lower-DT2;12/03/2024;10:56:46;1.39;73.30;6.84;305;8.05;293;-58;Ok
Lower-DT2;12/03/2024;10:59:10;1.39;73.40;10.30;294;11.27;294;-58;Ok
Lower-DT2;12/03/2024;11:01:39;1.44;73.80;8.37;293;9.66;298;-59;Ok
Lower-DT2;12/03/2024;11:03:37;1.44;73.90;10.30;295;11.27;293;-59;Ok
Lower-DT2;12/03/2024;11:05:34;1.44;74.20;8.19;305;9.66;317;-59;Ok
Lower-DT2;12/03/2024;11:07:32;1.47;74.40;8.05;283;8.05;279;-58;Ok
Lower-DT2;12/03/2024;11:09:29;1.53;74.10;10.40;301;11.27;300;-59;Ok
Lower-DT2;12/03/2024;11:11:27;1.49;74.20;8.85;297;11.27;298;-59;Ok
Lower-DT2;12/03/2024;11:13:27;1.56;74.70;9.66;306;9.66;300;-59;Ok
Lower-DT2;12/03/2024;11:14:23;1.50;74.40;11.59;301;12.87;305;-59;Ok
Lower-DT2;12/03/2024;11:16:32;1.50;74.40;11.96;296;12.87;301;-58;Ok
Lower-DT2;12/03/2024;11:18:18;1.44;74.20;8.05;297;9.66;312;-59;Ok
