;fecha;hora;;;;;;;;
Middle-DT2;12/03/2024;8:33:45;0.72;73.40;17.70;252;19.31;255;-68;Ok
Middle-DT2;12/03/2024;8:36:16;0.67;73.20;17.97;251;20.92;246;-49;Ok
Middle-DT2;12/03/2024;8:38:06;0.72;73.70;18.39;258;19.31;259;-47;Ok
Middle-DT2;12/03/2024;8:39:56;0.72;74.30;16.25;267;19.31;263;-47;Ok
Middle-DT2;12/03/2024;8:41:46;0.70;73.70;17.60;258;20.92;261;-48;Ok
Middle-DT2;12/03/2024;8:43:36;0.67;73.30;14.08;261;14.48;258;-47;Ok
Middle-DT2;12/03/2024;8:44:34;0.67;73.10;15.29;252;16.09;255;-47;Ok
Middle-DT2;12/03/2024;8:46:24;0.67;73.50;17.70;251;17.70;247;-48;Ok
Middle-DT2;12/03/2024;8:48:11;0.67;73.30;17.38;251;19.31;250;-47;Ok
Middle-DT2;12/03/2024;8:50:01;0.69;72.00;20.92;257;24.14;258;-47;Ok
Middle-DT2;12/03/2024;8:52:57;0.72;72.30;18.91;257;20.92;255;-47;Ok
Middle-DT2;12/03/2024;8:54:36;0.69;72.60;19.58;257;22.53;257;-47;Ok
Middle-DT2;12/03/2024;8:56:26;0.72;73.00;17.06;255;17.70;254;-48;Ok
Middle-DT2;12/03/2024;8:59:11;0.72;73.20;19.98;251;22.53;250;-48;Ok
Middle-DT2;12/03/2024;9:01:01;0.72;74.40;14.81;269;16.09;269;-47;Ok
Middle-DT2;12/03/2024;9:02:51;0.72;74.40;13.41;262;16.09;275;-47;Ok
Middle-DT2;12/03/2024;9:04:41;0.72;74.20;15.22;252;17.70;251;-48;Ok
Middle-DT2;12/03/2024;9:07:27;0.74;73.60;15.24;261;19.31;263;-47;Ok
Middle-DT2;12/03/2024;9:09:19;0.72;73.40;15.29;269;16.09;265;-48;Ok
Middle-DT2;12/03/2024;9:11:18;0.78;73.20;13.68;272;14.48;273;-48;Ok
Middle-DT2;12/03/2024;9:13:54;0.78;73.30;13.41;276;14.48;274;-48;Ok
Middle-DT2;12/03/2024;9:16:37;0.78;73.60;15.63;272;17.70;279;-48;Ok
Middle-DT2;12/03/2024;9:17:45;0.78;73.50;15.29;275;16.09;279;-48;Ok
Middle-DT2;12/03/2024;9:20:17;0.80;74.40;11.16;272;12.87;273;-47;Ok
Middle-DT2;12/03/2024;9:22:09;0.78;74.40;12.87;269;12.87;266;-48;Ok
Middle-DT2;12/03/2024;9:24:52;0.82;74.30;15.79;255;17.70;265;-47;Ok
Middle-DT2;12/03/2024;9:26:44;0.83;74.60;12.87;265;12.87;265;-48;Ok
Middle-DT2;12/03/2024;9:28:32;0.83;74.60;12.58;265;14.48;269;-47;Ok
Middle-DT2;12/03/2024;9:31:17;0.83;73.70;18.73;281;19.31;291;-48;Ok
Middle-DT2;12/03/2024;9:33:07;0.83;73.90;12.55;271;14.48;278;-48;Ok
Middle-DT2;12/03/2024;9:34:15;0.83;74.00;14.48;280;16.09;282;-48;Ok
Middle-DT2;12/03/2024;9:36:47;0.85;74.60;10.00;274;11.27;286;-47;Ok
Middle-DT2;12/03/2024;9:38:37;0.89;74.70;13.14;289;16.09;294;-48;Ok
Middle-DT2;12/03/2024;9:40:27;0.83;73.90;14.84;281;17.70;283;-48;Ok
Middle-DT2;12/03/2024;9:43:12;0.89;73.90;12.87;282;16.09;279;-48;Ok
Middle-DT2;12/03/2024;9:45:57;0.90;74.00;13.08;286;16.09;285;-48;Ok
Middle-DT2;12/03/2024;9:47:05;0.89;74.00;13.68;304;14.48;302;-47;Ok
Middle-DT2;12/03/2024;9:49:37;0.94;74.10;11.44;278;12.87;277;-48;Ok
Middle-DT2;12/03/2024;9:51:24;0.94;-1.00;10.62;299;11.27;298;-57;Ok
Middle-DT2;12/03/2024;9:59:01;1.00;73.50;13.68;282;14.48;286;-50;Ok
Middle-DT2;12/03/2024;9:59:53;1.00;74.10;11.67;273;12.87;279;-50;Ok
Middle-DT2;12/03/2024;10:02:27;1.01;72.90;12.37;273;14.48;273;-50;Ok
Middle-DT2;12/03/2024;10:04:17;1.00;73.10;16.36;273;17.70;270;-50;Ok
Middle-DT2;12/03/2024;10:06:07;1.00;73.10;15.95;276;17.70;281;-50;Ok
Middle-DT2;12/03/2024;10:07:57;1.03;73.30;13.36;283;16.09;277;-50;Ok
Middle-DT2;12/03/2024;10:10:42;1.04;74.20;13.48;286;14.48;291;-50;Ok
Middle-DT2;12/03/2024;10:12:35;1.06;73.90;11.27;287;11.27;290;-50;Ok
Middle-DT2;12/03/2024;10:14:22;1.06;73.90;13.88;271;16.09;278;-50;Ok
Middle-DT2;12/03/2024;10:16:12;1.06;73.80;13.41;287;14.48;290;-50;Ok
Middle-DT2;12/03/2024;10:18:57;1.11;74.40;11.59;278;12.87;277;-50;Ok
Middle-DT2;12/03/2024;10:20:47;1.11;73.30;13.20;291;16.09;290;-50;Ok
Middle-DT2;12/03/2024;10:23:32;1.12;73.90;11.59;278;16.09;274;-50;Ok
Middle-DT2;12/03/2024;10:25:25;1.17;71.80;16.09;290;16.09;290;-50;Ok
Middle-DT2;12/03/2024;10:27:12;1.17;72.10;16.09;292;17.70;289;-50;Ok
Middle-DT2;12/03/2024;10:29:57;1.17;72.20;12.34;290;14.48;296;-50;Ok
Middle-DT2;12/03/2024;10:32:42;1.22;71.60;11.85;283;14.48;290;-50;Ok
Middle-DT2;12/03/2024;10:34:32;1.22;71.50;15.13;288;16.09;287;-50;Ok
Middle-DT2;12/03/2024;10:36:22;1.22;70.90;14.89;289;16.09;290;-50;Ok
Middle-DT2;12/03/2024;10:38:15;1.22;70.80;13.68;289;14.48;289;-50;Ok
Middle-DT2;12/03/2024;10:40:02;1.22;72.00;10.41;290;12.87;294;-50;Ok
Middle-DT2;12/03/2024;10:41:55;1.22;71.70;9.66;275;9.66;279;-50;Ok
Middle-DT2;12/03/2024;10:43:42;1.25;71.40;9.51;291;11.27;304;-50;Ok
Middle-DT2;12/03/2024;10:45:46;1.28;71.10;14.08;282;14.48;279;-50;Ok
Middle-DT2;12/03/2024;10:47:22;1.28;71.40;14.38;290;16.09;298;-50;Ok
Middle-DT2;12/03/2024;10:49:12;1.24;71.20;12.23;295;14.48;297;-50;Ok
Middle-DT2;12/03/2024;10:51:57;1.28;71.40;11.51;278;12.87;287;-50;Ok
Middle-DT2;12/03/2024;10:53:47;1.28;71.00;9.92;275;11.27;273;-50;Ok
Middle-DT2;12/03/2024;10:56:32;1.28;72.20;9.80;290;11.27;293;-50;Ok
Middle-DT2;12/03/2024;10:58:33;1.30;71.90;11.27;285;12.87;287;-50;Ok
Middle-DT2;12/03/2024;11:01:10;1.33;72.30;8.58;287;9.66;289;-50;Ok
Middle-DT2;12/03/2024;11:03:00;1.33;72.60;12.87;296;12.87;293;-50;Ok
Middle-DT2;12/03/2024;11:04:47;1.33;72.70;11.44;286;12.87;282;-50;Ok
Middle-DT2;12/03/2024;11:06:40;1.39;72.80;8.05;279;8.05;275;-50;Ok
Middle-DT2;12/03/2024;11:08:27;1.36;73.00;10.30;289;11.27;283;-50;Ok
Middle-DT2;12/03/2024;11:10:17;1.39;73.30;9.39;295;9.66;310;-50;Ok
Middle-DT2;12/03/2024;11:13:02;1.37;73.70;10.19;285;11.27;285;-50;Ok
Middle-DT2;12/03/2024;11:14:08;1.39;73.30;12.47;295;12.87;298;-50;Ok
Middle-DT2;12/03/2024;11:15:50;1.39;73.20;10.46;288;11.27;285;-50;Ok
Middle-DT2;12/03/2024;11:17:37;1.33;73.20;10.30;286;11.27;290;-50;Ok
Middle-DT2;12/03/2024;11:19:30;1.33;73.80;9.12;283;9.66;286;-50;Ok
Middle-DT2;12/03/2024;11:22:12;1.39;73.50;13.04;309;14.48;316;-50;Ok
Middle-DT2;12/03/2024;11:24:57;1.39;73.80;11.97;307;12.87;309;-50;Ok
