13-3-2024;0:1:54;2.64;93.20;17.70;42;20.92;15;-46;Ok
13-3-2024;0:3:40;2.56;93.30;18.14;41;20.92;23;-46;Ok
13-3-2024;0:6:36;2.54;93.40;17.59;10;20.92;11;-46;Ok
13-3-2024;0:8:37;2.56;93.40;20.92;9;20.92;9;-46;Ok
13-3-2024;0:10:31;2.53;93.50;17.17;306;19.31;9;-46;Ok
13-3-2024;0:13:25;999.90;-1.00;17.30;262;19.31;351;-46;Ok
13-3-2024;0:15:25;2.50;93.50;16.09;99;19.31;9;-46;Ok
13-3-2024;0:17:37;2.50;93.50;16.90;95;19.31;11;-46;Ok
13-3-2024;0:20:45;2.46;-1.00;21.07;191;22.53;9;-46;Ok
13-3-2024;0:22:19;2.50;93.70;16.90;12;17.70;9;-46;Ok
13-3-2024;0:24:17;2.50;93.80;15.29;180;16.09;351;-46;Ok
13-3-2024;0:25:13;2.44;93.80;12.47;180;12.87;15;-46;Ok
13-3-2024;0:28:9;2.44;93.90;13.68;9;14.48;9;-46;Ok
13-3-2024;0:31:20;2.39;94.00;17.70;237;17.70;9;-46;Ok
13-3-2024;0:32:19;2.44;94.00;13.41;345;14.48;351;-46;Ok
13-3-2024;0:34:13;2.39;94.00;13.52;43;16.09;9;-46;Ok
13-3-2024;0:35:59;2.44;94.10;16.09;10;16.09;9;-46;Ok
13-3-2024;0:37:1;2.44;94.20;12.87;11;12.87;13;-46;Ok
13-3-2024;0:39:10;2.44;94.20;9.66;180;9.66;351;-46;Ok
13-3-2024;0:40:53;2.44;94.20;16.09;233;17.70;345;-46;Ok
13-3-2024;0:42:50;2.50;94.30;14.81;145;16.09;9;-46;Ok
13-3-2024;0:44:48;2.50;94.30;15.51;70;19.31;13;-46;Ok
13-3-2024;0:46:45;2.44;94.30;14.78;131;16.09;14;-46;Ok
13-3-2024;0:49:42;2.44;94.40;16.50;177;19.31;9;-46;Ok
13-3-2024;0:51:42;2.44;94.30;16.09;345;16.09;349;-46;Ok
13-3-2024;0:53:49;2.43;94.30;16.74;243;17.70;9;-46;Ok
13-3-2024;0:55:37;2.39;94.30;15.02;123;16.09;9;-46;Ok
13-3-2024;0:57:32;2.37;94.30;14.60;176;16.09;9;-46;Ok
13-3-2024;1:0:10;2.35;-1.00;13.84;276;14.48;341;-46;Ok
13-3-2024;1:2:26;2.35;94.40;11.87;235;14.48;351;-46;Ok
13-3-2024;1:4:23;2.33;94.50;11.27;343;12.87;330;-46;Ok
13-3-2024;1:5:25;2.39;94.50;16.90;336;17.70;337;-46;Ok
13-3-2024;1:8:18;2.44;94.60;14.27;332;17.70;338;-46;Ok
13-3-2024;1:11:14;2.56;94.90;15.02;339;16.09;348;-46;Ok
13-3-2024;1:14:11;2.56;94.80;15.69;333;19.31;334;-46;Ok
13-3-2024;1:15:24;2.56;94.70;12.87;340;12.87;338;-46;Ok
13-3-2024;1:18:17;2.56;94.80;18.95;331;25.75;333;-45;Ok
13-3-2024;1:20:3;2.57;94.90;19.31;324;22.53;324;-46;Ok
13-3-2024;1:22:4;2.56;94.90;23.34;321;24.14;317;-46;Ok
13-3-2024;1:23:58;2.50;94.90;15.56;331;17.70;326;-45;Ok
13-3-2024;1:26:54;2.50;95.00;16.82;336;19.31;344;-46;Ok
13-3-2024;1:29:54;2.44;95.00;16.90;342;17.70;334;-45;Ok
13-3-2024;1:31:48;2.50;95.10;14.62;335;19.31;337;-45;Ok
13-3-2024;1:33:46;2.50;95.10;14.92;333;17.70;336;-45;Ok
